feature,start_hour,window_label,center_hour,center_hour_mod,W_obs_full,W_boot_mean,W_boot_std,W_null_mean,W_null_std,W_t_stat,W_p_ttest,W_n_null_valid
ADI_z,22.5,022.5-001.5,24.0,0.0,0.025209519181899346,0.028092872064186664,0.07761896664813894,0.006371172503423148,0.1059789099406033,2.5138440639103186,0.012734842037886353,200
AEI_z,22.5,022.5-001.5,24.0,0.0,-0.06856887272878726,0.010905541425448263,0.07631673923106018,0.0006535782743739199,0.09223742025314134,-10.613407092339354,3.854622791467406e-21,200
LFC_z,22.5,022.5-001.5,24.0,0.0,-0.10098229619281655,0.032798162864870015,0.07463238169822646,-0.016013299065969277,0.11505969688961294,-10.443648937586925,1.2270870298161252e-20,200
MFC_z,22.5,022.5-001.5,24.0,0.0,0.11583541180605599,0.062418986490780946,0.0915380226793172,-0.028051008041156518,0.18128258753908538,11.224802621783223,5.732873751206195e-23,200
HFC_z,22.5,022.5-001.5,24.0,0.0,-0.14976404660359338,-0.16312612493751816,0.0611506590568652,-0.012503010494365393,0.12022171171096549,-16.146535936682053,4.922279120709448e-38,200
ACTspFract_z,22.5,022.5-001.5,24.0,0.0,-0.09676814501994611,-0.1359753168703734,0.06239073413913727,-0.0005272365992721275,0.11336666452316635,-12.005751295241751,2.478020271885493e-25,200
ACTspCount_z,22.5,022.5-001.5,24.0,0.0,-0.13610338271613254,-0.1524216910849593,0.07650973616827177,-0.010302614274946817,0.11416571338032522,-15.583413585285939,2.5818138974597727e-36,200
ACTspMean_z,22.5,022.5-001.5,24.0,0.0,0.10770157538460683,0.06705024703354227,0.06248823104236668,0.007477612112763371,0.08310268844742594,17.055776507578706,8.588513061082953e-41,200
EVNspFract_z,22.5,022.5-001.5,24.0,0.0,-0.04470843439429625,-0.12939620251073056,0.060484911226739733,-0.0020631249814789046,0.09788340589442332,-6.1613686602050795,3.928447098611307e-09,200
EVNspMean_z,22.5,022.5-001.5,24.0,0.0,0.11840173406393056,-0.055229523023615563,0.08294912714869608,0.00033392531827061147,0.09467304443979367,17.636814934579377,1.5338555433091504e-42,200
EVNspCount_z,22.5,022.5-001.5,24.0,0.0,-0.10265022929383033,-0.16036481535932653,0.05444017075216942,-0.012891535733775425,0.10205386157830793,-12.43833009455681,1.1858071372410857e-26,200
TFSD_z,22.5,022.5-001.5,24.0,0.0,-0.006729220109004091,-0.056776816032075884,0.0757425219819094,0.006117418979266862,0.0794451765646704,-2.2868463530641145,0.02325703201143949,200
H_Havrda_z,22.5,022.5-001.5,24.0,0.0,0.10195644724324346,0.09145293842172972,0.0703858159847933,0.0027381509625788326,0.10940595932297612,12.825248378056175,7.741195975337989e-28,200
H_Renyi_z,22.5,022.5-001.5,24.0,0.0,-0.12441224773759962,-0.06726111565156945,0.08822869163083844,-0.00868833552342755,0.19346806981663747,-8.459190516516006,5.766893543593916e-15,200
H_pairedShannon_z,22.5,022.5-001.5,24.0,0.0,0.16093640898130535,0.06395508535771514,0.07526459241500984,-0.008222056932361282,0.14029311545434417,17.051884257512697,8.824072521830642e-41,200
H_gamma_z,22.5,022.5-001.5,24.0,0.0,0.13984428913070507,0.08930195980578236,0.06412652214111772,-0.008794812888679024,0.11454045607320408,18.352243493811933,1.1252154472777282e-44,200
H_GiniSimpson_z,22.5,022.5-001.5,24.0,0.0,0.09947920541776538,0.06442328922264497,0.08985241678161834,-0.004994774226141232,0.12567930190680976,11.755994558042486,1.4230762284117791e-24,200
RAOQ_z,22.5,022.5-001.5,24.0,0.0,0.11668528157149385,0.10099642561396949,0.06992902302367023,-0.002485211360057628,0.10158493540084566,16.590307083769055,2.2018167150416215e-39,200
AGI_z,22.5,022.5-001.5,24.0,0.0,-0.11009139757510795,-0.006783300058953975,0.05221568211692762,-0.0023535121414628175,0.0702914465021668,-21.676090953251745,2.7747611894497495e-54,200
nROI_z,22.5,022.5-001.5,24.0,0.0,-0.09147577507411377,-0.16703984796369087,0.07063742502081331,-0.029655466577054358,0.15155782243400526,-5.768565244773137,3.0213592124242056e-08,200
aROI_z,22.5,022.5-001.5,24.0,0.0,0.03007530737880339,-0.04695885462254891,0.06815890088755809,0.00015292293437659421,0.11048649843933793,3.830028329034597,0.00017166262805589377,200
ZCR_z,22.5,022.5-001.5,24.0,0.0,-0.06971760541104562,-0.14341057185554354,0.08237286795749657,0.012617151747628117,0.16099383573323106,-7.232508604952586,1.0001527699388459e-11,200
MEANt_z,22.5,022.5-001.5,24.0,0.0,-0.23030068234678344,0.00968116891036681,0.07750830210432291,0.006632840806080216,0.06842244053998323,-48.971448428212064,5.776266744259543e-113,200
VARt_z,22.5,022.5-001.5,24.0,0.0,0.019617593109410716,0.03303672607916071,0.07494147364073063,-0.005757690787351662,0.07272624741585099,4.934404277821633,1.6949726945916226e-06,200
SKEWt_z,22.5,022.5-001.5,24.0,0.0,0.002991330881796505,0.003669698818823279,0.06772621263340285,0.005028887368421744,0.07122537202120902,-0.4045665098988378,0.6862306834300941,200
KURTt_z,22.5,022.5-001.5,24.0,0.0,0.036443626969306614,0.016860190853199196,0.05482035717065402,0.006120578371918956,0.06898694363229724,6.216142406234629,2.935746073948023e-09,200
LEQt_z,22.5,022.5-001.5,24.0,0.0,0.2892023567365505,0.2199794414883239,0.07534463438559935,0.013736024376752205,0.16850500491900394,23.119089156292823,2.8113708070211195e-58,200
BGNt_z,22.5,022.5-001.5,24.0,0.0,0.31312538508648097,0.2913295454696304,0.06882325758612973,0.00687275558707571,0.19244974950459667,22.504920025377157,1.3654107743820603e-56,200
SNRt_z,22.5,022.5-001.5,24.0,0.0,0.0771085794849074,0.024102361603640578,0.0665067705929948,0.0011592068543927313,0.08118956164741577,13.229364791282942,4.443734453538486e-29,200
MED_z,22.5,022.5-001.5,24.0,0.0,0.07829643382691447,0.06082547816306579,0.060490743267911,-0.011245083378955698,0.07517582249686836,16.84462155811871,3.733845393094107e-40,200
Ht_z,22.5,022.5-001.5,24.0,0.0,-0.0067786563818951675,-0.0614493655076601,0.0872865262480974,-0.010395285678284502,0.13024271221174416,0.3927042146292515,0.6949582785290274,200
ACTtFraction_z,22.5,022.5-001.5,24.0,0.0,-0.0369520095675836,-0.05163002607342062,0.07180467082262951,-0.0012947439188376456,0.10397836344556009,-4.849757873328988,2.4881734080752617e-06,200
ACTtCount_z,22.5,022.5-001.5,24.0,0.0,-0.1306725880983501,-0.05766948399696525,0.07276920095862575,-0.00837797877025634,0.09721429910929075,-17.79066420285291,5.309155954395563e-43,200
ACTtMean_z,22.5,022.5-001.5,24.0,0.0,0.01694024878352232,0.08051152465213605,0.06546249874879166,-0.0008109589857189548,0.07884228042088254,3.184078218152922,0.001685593506696099,200
EVNtFraction_z,22.5,022.5-001.5,24.0,0.0,-0.06894048315442258,-0.03164493026211319,0.06831247694238438,-0.002802549763744511,0.10071388893746003,-9.287017250074246,2.805301238513559e-17,200
EVNtMean_z,22.5,022.5-001.5,24.0,0.0,0.04443708425296932,0.013885588626064345,0.08391306781345222,-0.00546008495283315,0.06920456047575423,10.196618969871718,6.556015780452481e-20,200
EVNtCount_z,22.5,022.5-001.5,24.0,0.0,-0.12727062077611126,-0.009873558549324875,0.066834336787436,-0.0023935909131699664,0.11117087540473872,-15.885706451270222,3.0745642602893422e-37,200
MEANf_z,23.0,023.0-002.0,24.5,0.5,-0.09966548340261328,0.012189384740738293,0.055459850969907395,-0.006443055078927964,0.0677543099415863,-19.458012717769687,6.244094778409783e-48,200
VARf_z,23.0,023.0-002.0,24.5,0.5,-0.000734888464410151,0.02830639010719658,0.06699154893814271,-0.005862725691968467,0.07129943410983981,1.0170988091830893,0.31034139734961824,200
SKEWf_z,23.0,023.0-002.0,24.5,0.5,-0.10509531780514192,-0.05019782449863784,0.08109346819934166,-0.008488792414116398,0.20605731510689906,-6.630303726458424,3.082622334138444e-10,200
KURTf_z,23.0,023.0-002.0,24.5,0.5,0.10311875119170907,0.07332133617777102,0.0683478442974919,-0.013587277541525089,0.14355831567725982,11.496878315032221,8.668828653952695e-24,200
NBPEAKS_z,23.0,023.0-002.0,24.5,0.5,-0.08855090371180041,-0.1393748317101788,0.071477282400491,0.0006473069929351444,0.14266494638916727,-8.84206825227731,5.037255715242015e-16,200
LEQf_z,23.0,023.0-002.0,24.5,0.5,0.1839577810050028,0.2236323018980952,0.07766143369544556,-0.020609333469593514,0.15901169238172047,18.193730496938027,3.329408287881482e-44,200
ENRf_z,23.0,023.0-002.0,24.5,0.5,0.32209896579341035,0.21375196464765003,0.06530858299500185,-0.01848310189736006,0.16228901588401243,29.67888964054088,5.157896986466194e-75,200
BGNf_z,23.0,023.0-002.0,24.5,0.5,0.39697196347152414,0.3722613483232978,0.06095480173995975,-0.016090226177792405,0.1804855503229082,32.36592345816431,3.1767819641195596e-81,200
SNRf_z,23.0,023.0-002.0,24.5,0.5,-0.09994348925939865,0.06314796879586469,0.06237011503896042,0.008963890844030509,0.07387165878726137,-20.84944300876463,6.044121967638958e-52,200
Hf_z,23.0,023.0-002.0,24.5,0.5,-0.03912729030984806,0.018705636471912455,0.07193426615538712,0.01571222407870114,0.13801804813984414,-5.619177060355169,6.412742634266523e-08,200
EAS_z,23.0,023.0-002.0,24.5,0.5,0.029816061195137203,0.03445937302812475,0.06996636143173221,-0.012189769189999733,0.07360443780246335,8.07087409441722,6.503350415918317e-14,200
